"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1992908398246125648","Mon Nov 24 10:49:23 +0000 2025","84","menuju asal bapak senang IHSG akhir tahun otw 9000 lets gooo https://t.co/DbK1jxVlh9","1992908398246125648","https://pbs.twimg.com/media/G6g7DvRaUAAVdAy.jpg","","in","","4","3","11","https://x.com/undefined/status/1992908398246125648","1409160713252179975",
"1996074305277534344","Wed Dec 03 04:29:34 +0000 2025","0","Sambut Window Dressing Akhir 2025 IHSG Diramal Sentuh 9.000 https://t.co/aR4YtEIx3k","1996074305277534344","","","in","","0","0","0","https://x.com/undefined/status/1996074305277534344","847372542830444544",
"1992071603791044768","Sat Nov 22 03:24:15 +0000 2025","94","#BahasSaham #analisaemiten $ABMM low pbv per broksum akum mulai detected (saya akan coba berhenti bilang broksum itu bandar karena memang broksum itu bukan bandar) perusahaan energi terintegrasi yang melakukan investasi strategis di sektor terkait pertambangan dan energi. https://t.co/B0grGzK4OX","1992071603791044768","https://pbs.twimg.com/media/G6U98qWbIAAh9A0.jpg","","in","","0","2","12","https://x.com/undefined/status/1992071603791044768","1260798424393211904",
"1992621271889359043","Sun Nov 23 15:48:26 +0000 2025","225","IHSG ini udah exhausted banget naiknya. Kalau sampai koreksi berkepanjangan banyak plan yg gagal Sudah sebijaknya untuk jangan gegabah dan atur MM seketat mungkin pastiin Risk:Reward masuk akal baru boleh buy lebih berani https://t.co/356VX9A7Sz","1992621271889359043","https://pbs.twimg.com/media/G6c2Ld9bcAAMi46.jpg","","in","","3","7","12","https://x.com/undefined/status/1992621271889359043","331650905",
"1992116130740404697","Sat Nov 22 06:21:11 +0000 2025","131","Bahan bacaan akhir pekan","1992116130740404697","","","in","","0","1","14","https://x.com/undefined/status/1992116130740404697","1260798424393211904",
"1992783994078011612","Mon Nov 24 02:35:02 +0000 2025","116","kenapa saya diversifikasi mengikuti cara Peter Lynch guru fundamental saya karena keuntungan saham yg multibagger akan menutupi kesalahan investasi saham yg gagal bahkan kalau cl nya sampai delisting 0 pun tapi jangan diversifikasi yg dipaksakan hanya karena harus https://t.co/NEILJV59mv","1992783994078011612","https://pbs.twimg.com/media/G6fKDulbAAAWIEe.png","","in","","1","3","14","https://x.com/undefined/status/1992783994078011612","1260798424393211904",
"1992869410172961096","Mon Nov 24 08:14:27 +0000 2025","49","hmm Danantara dan pemerintah akan bangun pabirk pakan ternak ga gitu bagus buat tk pakan bagus buat tk bahan pakan yaa hehe apa tuh bahan pakan ternak? https://t.co/ukef0SPziL","1992869410172961096","https://pbs.twimg.com/media/G6gX-zNbMAAh4mg.png","","in","","1","7","2","https://x.com/undefined/status/1992869410172961096","1260798424393211904",
"1992141233461031188","Sat Nov 22 08:00:56 +0000 2025","29","Kemudian https://t.co/4j2ykQCVUD","1992141233461031188","https://pbs.twimg.com/media/G6WB5RjbsAAA929.jpg","","in","","0","1","1","https://x.com/undefined/status/1992141233461031188","1260798424393211904",
"1995314229734510666","Mon Dec 01 02:09:18 +0000 2025","2651","gue yakin bgt lg ni orang maksa nyari berita positif tp keliatan dongonya lo kl udah bahas IHSG harusnya tau itu pengaruhnya ga besar utk rakyat namanya aja indeks saham anying dikira semua org investor","1995314229734510666","","","in","","9","24","426","https://x.com/undefined/status/1995314229734510666","1404815886394003480",
"1993641968174518631","Thu Nov 27 01:26:08 +0000 2025","20","@merylnotstreep_ yg ini juga bisa ngademin pikiran kalo IHSG lagi kebakaran https://t.co/naYqz1AtAu","1993853815863550152","https://pbs.twimg.com/media/G6uXZF-a0AAvNBS.jpg","merylnotstreep_","in","","0","1","0","https://x.com/undefined/status/1993853815863550152","73060067",
"1992772426195935464","Mon Nov 24 01:49:04 +0000 2025","40","https://t.co/JtsCfMX3y9 Untuk dapat infografis harian free. #bahassaham #analisaemiten $bbca Dua bulan di akum asing dari per minimalnya di harga 7300 udah tau kan ga usah dijelasin siapa bbca https://t.co/qnLWuZdchJ","1992772426195935464","https://pbs.twimg.com/media/G6e-MUZaYAADcHP.jpg","","in","","0","0","4","https://x.com/undefined/status/1992772426195935464","1260798424393211904",
"1996051443145674780","Wed Dec 03 02:58:43 +0000 2025","5","berlayaaar containeran udah saya bahas ya shipping Cina Indonesia naik tinggi saya lupa dimana pokoknya udah bahas aja https://t.co/7v1JjT81AM","1996051443145674780","https://pbs.twimg.com/tweet_video_thumb/G7NmM_lbgAAGt7T.jpg","","in","","0","2","0","https://x.com/undefined/status/1996051443145674780","1260798424393211904",
"1994613942002545146","Sat Nov 29 03:46:36 +0000 2025","4","siapa disini yg sering kejebak asuransi yg diem2 dicentang shopee? https://t.co/EvqviQ0reg","1994613942002545146","https://pbs.twimg.com/media/G65Kx58bkAAfGdc.jpg","","in","","0","0","0","https://x.com/undefined/status/1994613942002545146","1260798424393211904",
"1991805739455918369","Fri Nov 21 09:47:48 +0000 2025","56","Kata drakor terbaru Laporan itu ga boleh panjang harus pendek jelas dan sexy memancing penasaran untuk mendalami Dalam dunia trading harus bisa tangkap informasi dengan cepat. Untuk investing tentu harus lebih didalami. Apa coba judul drakor nya? https://t.co/luCQPTeAJu","1991805739455918369","https://pbs.twimg.com/media/G6RQw64a8AAHa7H.jpg","","in","","0","1","3","https://x.com/undefined/status/1991805739455918369","1260798424393211904",
"1994433104010956871","Fri Nov 28 15:48:01 +0000 2025","10","Berbagi cuan dari saham $IHSG Thanks Lord https://t.co/WE6xMVmqSa","1994433104010956871","https://pbs.twimg.com/media/G62mUT6b0AEZrZk.jpg","","in","","0","1","0","https://x.com/undefined/status/1994433104010956871","971225475107274752",
